gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
760124,,"Soppa Street - Hail & Ride Location",, -23.880085, 151.274750,,,0,
760125,,"New Auckland - Hail & Ride Location",, -23.881601, 151.236969,,,0,
760126,,"Emmadale Park - Hail & Ride Location",, -23.887981, 151.240585,,,0,
760127,,"Seaview Heights - Hail & Ride Location",, -23.879465, 151.213516,,,0,
760128,,"Kin Kora State School - Hail & Ride Location",, -23.880140, 151.252075,,,0,
760129,,"Sun Valley - Hail & Ride Location",, -23.879021, 151.245117,,,0,
760130,,"Gladstone Station - Hail & Ride Location",, -23.847254, 151.262939,,,0,
760132,,"Hampton Drive - Hail & Ride Location",, -23.945845, 151.361603,,,0,
760133,,"Davina Street - Hail & Ride Location",, -23.943779, 151.352997,,,0,
760134,,"Alkina Crescent - Hail & Ride Location",, -23.935774, 151.352051,,,0,
760135,,"Glen Eden - Hail & Ride Location",, -23.896866, 151.270081,,,0,
760136,,"Davina St - Hail & Ride Location",, -23.943764, 151.353302,,,0,
760137,,"Hampton Drive - Hail & Ride Location",, -23.945547, 151.361496,,,0,
760139,,"Booth Avenue",, -23.948071, 151.370056,,,0,
760140,,"Tannum Central - Hail & Ride Location",, -23.952187, 151.370316,,,0,
760141,,"Gladstone SHS",, -23.850067, 151.252167,,,0,
760143,,"Gladstone City (Yarroon St) Hail and Ride",, -23.840137, 151.254028,,,0,
760144,,"Gladstone Central State School - Hail & Ride",, -23.841478, 151.257324,,,0,
760145,,"Gladstone South State School - Hail & Ride",, -23.860937, 151.269745,,,0,
760146,,"Chanel College - Hail & Ride Location",, -23.867104, 151.241302,,,0,
760148,,"Gladstone Central State School - Hail & Ride",, -23.841583, 151.257202,,,0,
760149,,"Gladstone Hospital / Rosella School - Hail & Ride",, -23.852507, 151.248184,,,0,
760150,,"Gladstone SHS - Hail & Ride Location",, -23.850082, 151.251785,,,0,
760151,,"Gecko Valley - Hail & Ride Location",, -23.901447, 151.267059,,,0,
760152,,"Glen Eden - Hail & Ride Location",, -23.896938, 151.269760,,,0,
760153,,"Kin Kora State School - Hail & Ride Location",, -23.880264, 151.252167,,,0,
760155,,"Gecko Valley - Hail & Ride Location",, -23.901556, 151.267136,,,0,
760158,,"Central Queensland TAFE Gladstone",, -23.860895, 151.265747,,,0,
760159,,"Telina",, -23.887005, 151.255310,,,0,
760160,,"Boyne Plaza",, -23.947105, 151.354721,,,0,
760162,,"New Auckland",, -23.881735, 151.237015,,,0,
760163,,"Glen Eden (Edenvale Home)",, -23.898830, 151.273926,,,0,
760164,,"Little Creek Blvd",, -23.889877, 151.220932,,,0,
760165,,"Kirkwood",, -23.896658, 151.245148,,,0,
760167,,"Gladstone City (Yarroon St) Hail and Ride",, -23.840281, 151.254135,,,0,
760168,," McLeod St - Hail and Ride Location",, -23.959339, 151.342117,,,0,
760169,,"McLeod St - Hail and Ride Location",, -23.959217, 151.342255,,,0,
760170,,"New Auckland (Kakadu Way)",, -23.888332, 151.229614,,,0,
760188,,"Franmaur St - Hail and Ride Location",, -23.876684, 151.257080,,,0,
760189,,"Gidgee Court - Hail and Ride Location",, -23.876408, 151.254410,,,0,
760190,,"Pioneer Drive - Hail and Ride Location",, -23.885235, 151.247818,,,0,
760191,,"Witney St - Hail and Ride Location",, -23.888010, 151.250427,,,0,
760192,,"Gladstone-Benaraby Road",, -23.890991, 151.276718,,,0,
