gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station
880128,,"Kingsford Smith Dr",, -27.536772, 151.919373,,,0,
880129,,"Earhart / Kingsford Smith",, -27.536201, 151.918457,,,0,
880130,,"Earhart St",, -27.535204, 151.918640,,,0,
880131,,"Crusader Ct",, -27.534761, 151.917831,,,0,
880132,,"Wirraway Dr",, -27.534584, 151.916580,,,0,
880133,,"Catalina Dr",, -27.534349, 151.914902,,,0,
880134,,"Wright St",, -27.535158, 151.913849,,,0,
880135,,"Lindburg St",, -27.536028, 151.913422,,,0,
880136,,"Truscott / Lindburg",, -27.536720, 151.914352,,,0,
880137,,"Truscott St",, -27.538128, 151.913971,,,0,
880138,,"Bader Ct",, -27.539185, 151.915726,,,0,
880139,,"Paull St",, -27.539440, 151.917542,,,0,
880140,,"North / Greenwattle",, -27.537310, 151.920380,,,0,
880141,,"Toowoomba SHS Wilsonton",, -27.537621, 151.922333,,,0,
880142,,"Sprott St",, -27.540590, 151.924683,,,0,
880143,,"Wilsonton Shopping Centre",, -27.542974, 151.925201,,,0,
880144,,"Captain Cook Reserve",, -27.546267, 151.925079,,,0,
880145,,"Hopps St",, -27.548717, 151.922668,,,0,
880146,,"Eulolo St",, -27.548435, 151.920883,,,0,
880147,,"Jacinta Ct",, -27.548073, 151.918365,,,0,
880148,,"Greenwattle / Tomkinson",, -27.549124, 151.917847,,,0,
880149,,"Williamson Lane",, -27.550707, 151.917557,,,0,
880150,,"Greenwattle / Taylor",, -27.551786, 151.917343,,,0,
880151,,"Jimbour St",, -27.552471, 151.920334,,,0,
880152,,"Ellis St",, -27.552774, 151.922424,,,0,
880153,,"Rose St",, -27.553217, 151.925507,,,0,
880154,,"Berry St",, -27.553574, 151.927963,,,0,
880155,,"Charles St",, -27.555439, 151.928925,,,0,
880156,,"Tancred Ave",, -27.557459, 151.928574,,,0,
880157,,"The Tor Centre",, -27.561867, 151.927795,,,0,
880158,,"Clifford Gardens",, -27.565041, 151.931015,,,0,
880159,,"Edith St",, -27.560209, 151.932617,,,0,
880160,,"Wallace St",, -27.557461, 151.933014,,,0,
880161,,"Monash St",, -27.552593, 151.934998,,,0,
880162,,"Bernard St",, -27.552851, 151.936630,,,0,
880163,,"Bothwell St",, -27.553255, 151.939575,,,0,
880164,,"Campbell St",, -27.553474, 151.941132,,,0,
880165,,"McCarthy St",, -27.553782, 151.943344,,,0,
880166,,"West / Campbell",, -27.554867, 151.944305,,,0,
880167,,"St Ursula's College",, -27.556593, 151.943985,,,0,
880168,,"Cory St",, -27.557796, 151.945068,,,0,
880169,,"Rens St",, -27.558081, 151.947205,,,0,
880170,,"Grand Central Shopping Centre",, -27.560446, 151.949814,,,0,
880171,,"Market Plaza",, -27.560770, 151.952225,,,0,
880172,,"Sportsmans Club",, -27.559074, 151.954056,,,0,
880173,,"Toowoomba Bus Interchange",, -27.560551, 151.955124,,,0,
880174,,"Toowoomba Bus Interchange",, -27.560347, 151.955124,,,0,
880176,,"Toowoomba Bus Interchange",, -27.560186, 151.955276,,,0,
880177,,"Toowoomba Bus Interchange",, -27.560352, 151.955246,,,0,
880178,,"Toowoomba Bus Interchange",, -27.560570, 151.955231,,,0,
880179,,"Toowoomba Bus Interchange",, -27.560589, 151.955338,,,0,
880180,,"Empire Theatre",, -27.563652, 151.955185,,,0,
880181,,"Hooper Centre",, -27.567236, 151.956802,,,0,
880182,,"Kirk St",, -27.568592, 151.956558,,,0,
880183,,"Groom Park",, -27.570238, 151.956268,,,0,
880184,,"Hume / Long",, -27.574699, 151.955505,,,0,
880185,,"Somerset St",, -27.573910, 151.955643,,,0,
880186,,"Cooper St",, -27.576365, 151.955231,,,0,
880187,,"Salem Lutheran Retirement Home",, -27.578386, 151.954880,,,0,
880188,,"Ravenscourt St",, -27.579071, 151.955750,,,0,
880189,,"Kellys Corner",, -27.580187, 151.959030,,,0,
880190,,"Homer St",, -27.582117, 151.958679,,,0,
880191,,"Wilma St",, -27.585794, 151.958038,,,0,
880192,,"Hogan St",, -27.586214, 151.959396,,,0,
880193,,"Schloss St",, -27.586416, 151.960815,,,0,
880194,,"Ramsay / Alderley",, -27.587446, 151.962234,,,0,
880195,,"Hazel St",, -27.588837, 151.961990,,,0,
880196,,"Aster St",, -27.590702, 151.961655,,,0,
880197,,"Bagot St",, -27.592575, 151.961334,,,0,
880198,,"Stenner / Ramsay",, -27.594833, 151.960007,,,0,
880199,,"Blue Care Village",, -27.594673, 151.958786,,,0,
880200,,"Middle Ridge Park",, -27.594437, 151.956970,,,0,
880201,,"Jakirralee Ct",, -27.593910, 151.953384,,,0,
880202,,"Toowoomba Plaza",, -27.593824, 151.948441,,,0,
880203,,"Lemway Ave",, -27.592857, 151.944061,,,0,
880204,,"Rutkin St",, -27.593718, 151.941696,,,0,
880205,,"Hoffman St",, -27.594147, 151.940628,,,0,
880206,,"Wagner Park",, -27.595486, 151.940384,,,0,
880207,,"Marwedel / Kuhn",, -27.596601, 151.940720,,,0,
880208,,"Marwedel / Lemway",, -27.596886, 151.942764,,,0,
880209,,"Kratzmann Ct",, -27.597689, 151.942673,,,0,
880210,,"Swartz St",, -27.598066, 151.941452,,,0,
880211,,"Kurtz St",, -27.599279, 151.941162,,,0,
880212,,"Kearney St",, -27.600910, 151.939972,,,0,
880213,,"Emma Dr",, -27.606634, 151.939468,,,0,
880214,,"Carmen St",, -27.608723, 151.939209,,,0,
880215,,"Kearney St",, -27.610113, 151.938995,,,0,
880216,,"Nelson St",, -27.610397, 151.936310,,,0,
880217,,"USQ (Baker St)",, -27.607487, 151.932663,,,0,
880218,,"USQ Central",, -27.602442, 151.930023,,,0,
880219,,"USQ Sports",, -27.605082, 151.930649,,,0,
880220,,"USQ (Baker St)",, -27.607553, 151.932831,,,0,
880221,,"Nelson St",, -27.610336, 151.936478,,,0,
880222,,"Kearney St",, -27.609913, 151.938797,,,0,
880223,,"Carmen St",, -27.608654, 151.939072,,,0,
880224,," Emma Dr",, -27.606615, 151.939377,,,0,
880225,,"Kearney St",, -27.600296, 151.939987,,,0,
880226,,"Kurtz St",, -27.599260, 151.941071,,,0,
880227,,"Kratzmann Ct",, -27.597633, 151.942825,,,0,
880228,,"Marwedel / Lemway",, -27.596939, 151.942657,,,0,
880229,,"Marwedel / Kuhn",, -27.596684, 151.940796,,,0,
