gtfs_id,stop_code,name,stop_desc,lat,lon,transport:zone,url,location_type,parent_station,platform_code
place_eumsta,,Eumundi,,-26.48136,152.954983,,,1,,
place_faista,,Fairfield,,-27.509497,153.028058,,,1,,
place_forsta,,Fortitude Valley,,-27.456087,153.033669,,,1,,
place_gaista,,Gailes,,-27.6023,152.91919,,,1,,
place_gaysta,,Gaythorne,,-27.419052,152.984811,,,1,,
place_goosta,,Goodna,,-27.608516,152.901368,,,1,,
place_grasta,,Graceville,,-27.520756,152.975952,,,1,,
place_grosta,,Grovely,,-27.404577,152.962542,,,1,,
place_gymsta,,Gympie North,,-26.159424,152.682814,,,1,,
place_helsta,,Helensvale,,-27.925539,153.339342,,,1,,
place_hemsta,,Hemmant,,-27.447382,153.127376,,,1,,
place_hensta,,Hendra,,-27.421941,153.062465,,,1,,
place_holsta,,Holmview,,-27.709622,153.187528,,,1,,
place_indsta,,Indooroopilly,,-27.503039,152.9758,,,1,,
place_intsta,,International Airport,,-27.402852,153.108638,,,1,,
place_ipssta,,Ipswich,,-27.613037,152.760783,,,1,,
place_karsta,,Karrabin,,-27.604327,152.709042,,,1,,
place_kgtsta,,Kingston,,-27.657333,153.118018,,,1,,
place_kursta,,Kuraby,,-27.605028,153.09156,,,1,,
place_lansta,,Landsborough,,-26.808059,152.96638,,,1,,
place_lawsta,,Lawnton,,-27.28172,152.980945,,,1,,
place_logsta,,Loganlea,,-27.67082,153.138142,,,1,,
place_lotsta,,Lota,,-27.46996,153.188508,,,1,,
place_milsta,,Milton,,-27.468876,153.005225,,,1,,
place_molsta,,Mooloolah,,-26.76597,152.963267,,,1,,
place_mursta,,Murarrie,,-27.464646,153.105593,,,1,,
place_myesta,,Morayfield,,-27.110226,152.95261,,,1,,
place_namsta,,Nambour,,-26.625393,152.958052,,,1,,
place_narsta,,Narangba,,-27.202454,152.960201,,,1,,
place_nobsta,,North Boondall,,-27.338598,153.060642,,,1,,
place_norsta,,Northgate,,-27.393164,153.069367,,,1,,
place_npksta,,Norman Park,,-27.481668,153.062294,,,1,,
place_nrgsta,,Nerang,,-27.994325,153.350144,,,1,,
place_nudsta,,Nudgee,,-27.366077,153.083408,,,1,,
place_nunsta,,Nundah,,-27.400871,153.062047,,,1,,
place_omesta,,Ormeau,,-27.79918,153.282438,,,1,,
place_ormsta,,Ormiston,,-27.514571,153.255774,,,1,,
place_oxfsta,,Oxford Park,,-27.404433,152.968982,,,1,,
place_parsta,,Park Road,,-27.49378,153.03079,,,1,,
place_pomsta,,Pomona,,-26.366151,152.856699,,,1,,
place_rbksta,,Redbank,,-27.599624,152.872158,,,1,,
place_rbnsta,,Robina,,-28.072018,153.378077,,,1,,
place_ricsta,,Richlands,,-27.596179,152.946862,,,1,,
place_rivsta,,Riverview,,-27.594971,152.850522,,,1,,
place_rocsta,,Rocklea,,-27.544539,153.013998,,,1,,
place_romsta,,Roma Street,,-27.465496,153.01964,,,1,,
place_rossta,,Rosewood,,-27.643214,152.592575,,,1,,
place_runsta,,Runcorn,,-27.592445,153.068583,,,1,,
place_sbasta,,South Bank,,-27.481855,153.022968,,,1,,
place_sgtsta,,Sandgate,,-27.322218,153.069125,,,1,,
place_shesta,,Sherwood,,-27.531235,152.979503,,,1,,
place_shnsta,,Shorncliffe,,-27.327334,153.081138,,,1,,
place_slysta,,Salisbury,,-27.553912,153.022602,,,1,,
place_snssta,,Sunshine,,-27.375754,153.05622,,,1,,
place_sousta,,South Brisbane,,-27.4751,153.018441,,,1,,
place_spcsta,,Springfield Central,,-27.674276,152.902834,,,1,,
place_sunsta,,Sunnybank,,-27.58085,153.053873,,,1,,
place_tarsta,,Taringa,,-27.493167,152.981418,,,1,,
place_thasta,,Thagoona,,-27.626854,152.629893,,,1,,
place_thmsta,,Thomas Street,,-27.614838,152.745421,,,1,,
place_thosta,,Thorneside,,-27.486159,153.192607,,,1,,
place_tomsta,,Toombul,,-27.407784,153.059003,,,1,,
place_trvsta,,Traveston,,-26.320905,152.783816,,,1,,
place_twgsta,,Toowong,,-27.485299,152.993074,,,1,,
place_varsta,,Varsity Lakes,,-28.097158,153.399386,,,1,,
place_virsta,,Virginia,,-27.382135,153.06249,,,1,,
place_wacsta,,Wacol,,-27.589259,152.92428,,,1,,
place_walsta,,Walloon,,-27.607324,152.667838,,,1,,
place_welsta,,Wellington Point,,-27.494454,153.241948,,,1,,
place_wilsta,,Wilston,,-27.43621,153.019199,,,1,,
place_wnmsta,,Wynnum,,-27.439714,153.166128,,,1,,
place_wolsta,,Wooloowin,,-27.41964,153.04358,,,1,,
place_wulsta,,Wulkuraka,,-27.613569,152.732798,,,1,,
place_wyhsta,,Wynnum North,,-27.437193,153.158604,,,1,,
place_wynsta,,Wynnum Central,,-27.445252,153.170158,,,1,,
place_yansta,,Yandina,,-26.560672,152.958104,,,1,,
place_yeesta,,Yeerongpilly,,-27.525278,153.013953,,,1,,
place_yersta,,Yeronga,,-27.517765,153.01695,,,1,,
place_zllsta,,Zillmere,,-27.358816,153.036852,,,1,,
place_helrst,,Helensvale,,-27.925396,153.338727,,,1,,
place_htnshp,,Harbour Town Shopping Centre,,-27.933732,153.388032,,,1,,
place_pacfai,,Pacific Fair Shopping Centre,,-28.035645,153.426261,,,1,,
place_pinctr,,The Pines Shopping Centre,,-28.134318,153.469217,,,1,,
place_robrst,,Robina,,-28.070961,153.37823,,,1,,
place_SOUTHP,,Southport,,-27.966971,153.41391,,,1,,
place_staner,,Nerang,,-27.994944,153.35043,,,1,,
place_MARSTA,,Maroochydore,,-26.654609,153.090985,,,1,,
place_nsahds,,Noosa Heads,,-26.388183,153.091026,,,1,,
place_NSJNC,,Noosa Junction,,-26.398941,153.092698,,,1,,
place_scuniv,,USC,,-26.718618,153.061896,,,1,,
place_vicptb,,Victoria Point,,-27.58654,153.279835,,,1,,
place_intrlk,,Riverlink Shopping Centre,,-27.607206,152.758838,,,1,,
place_IPSINT,,"Ipswich, Bell Street",,-27.613531,152.760156,,,1,,
place_boggo,,Boggo Road busway,,-27.493988,153.030399,,,1,,
place_PAH,,PA Hospital busway,,-27.496804,153.034021,,,1,,
place_burand,,Buranda busway,,-27.497149,153.039383,,,1,,
place_greens,,Greenslopes,,-27.510936,153.040234,,,1,,
place_HPW,,Holland Park West,,-27.528541,153.057393,,,1,,
place_GUbw,,Griffith University busway,,-27.546644,153.064468,,,1,,
place_UMG,,Upper Mount Gravatt,,-27.564136,153.081529,,,1,,
place_KBbw,,Kedron Brook,,-27.415214,153.035521,,,1,,
place_LWbw,,Lutwyche,,-27.419887,153.034342,,,1,,
place_WGbw,,Woolloongabba,,-27.486045,153.034863,,,1,,
place_SBbw,,South Bank busway,,-27.480867,153.022019,,,1,,
place_mfield,,Morayfield Shopping Centre,,-27.1032,152.948949,,,1,,
place_stbfer,,South Bank citycat,,-27.475978,153.022298,,,1,,
place_ntqfer,,North Quay,,-27.472777,153.022567,,,1,,
place_cappnr,,Capalaba Park n Ride,,-27.525194,153.195644,,,1,,
plcae_RCHbw,,RCH Herston,,-27.449823,153.025114,,,1,,
place_NBYbw,,Normanby busway,,-27.458994,153.015089,,,1,,
place_RBWH,,RBW Hospital,,-27.446927,153.029209,,,1,,
place_RStbw,,Roma Street busway,,-27.465895,153.018763,,,1,,
place_truobw,,Truro Street busway,,-27.426815,153.032922,,,1,,
place_fdstbw,,Federation Street busway,,-27.441172,153.031192,,,1,,
place_langbw,,Langlands Park busway,,-27.498568,153.049474,,,1,,
place_stonbw,,Stones Corner busway,,-27.497814,153.044268,,,1,,
place_dtppbw,,Dutton Park Place,,-27.49804,153.024631,,,1,,
